"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2021","379.00","367.00","380.89","366.73","58.39M","5.09%"
"11/26/2021","360.64","366.49","369.59","360.33","35.04M","-3.05%"
"11/24/2021","372.00","360.13","377.59","354.00","67.68M","0.63%"
"11/23/2021","369.68","389.17","393.50","354.23","108.52M","-4.14%"
"11/22/2021","385.62","387.44","400.65","377.48","99.22M","1.74%"
"11/19/2021","379.02","366.29","379.57","364.23","64.93M","3.71%"
"11/18/2021","365.46","368.85","370.67","358.34","62.70M","0.68%"
"11/17/2021","363.00","354.50","373.21","351.83","94.34M","3.25%"
"11/16/2021","351.58","334.44","352.40","334.06","79.63M","4.08%"
"11/15/2021","337.80","339.21","343.99","326.20","104.33M","-1.94%"
"11/12/2021","344.47","349.17","351.50","339.73","76.72M","-2.83%"
"11/11/2021","354.50","367.59","368.32","351.56","67.19M","-0.42%"
"11/10/2021","355.98","336.80","359.37","329.10","128.41M","4.34%"
"11/09/2021","341.17","391.20","391.50","337.17","177.32M","-11.99%"
"11/08/2021","387.65","383.26","399.00","377.67","100.34M","-4.84%"
"11/05/2021","407.36","409.33","413.29","402.67","64.89M","-0.64%"
"11/04/2021","409.97","411.47","414.50","405.67","76.19M","1.32%"
"11/03/2021","404.62","392.44","405.13","384.21","103.89M","3.57%"
"11/02/2021","390.67","386.45","402.86","382.00","128.21M","-3.03%"
"11/01/2021","402.86","381.67","403.25","372.89","168.15M","8.49%"
"10/29/2021","371.33","360.62","371.74","357.73","89.76M","3.43%"
"10/28/2021","359.01","356.10","360.33","351.40","81.64M","3.78%"
"10/27/2021","345.95","346.55","356.96","343.59","115.58M","1.91%"
"10/26/2021","339.48","341.56","364.98","333.81","187.24M","-0.63%"
"10/25/2021","341.62","316.84","348.34","314.73","188.56M","12.66%"
"10/22/2021","303.23","298.50","303.33","296.99","68.64M","1.75%"
"10/21/2021","298.00","285.33","300.00","285.17","94.44M","3.26%"
"10/20/2021","288.60","288.45","289.83","285.79","42.10M","0.18%"
"10/19/2021","288.09","292.51","292.65","287.50","52.14M","-0.67%"
"10/18/2021","290.04","283.93","291.75","283.82","72.62M","3.21%"
"10/15/2021","281.01","274.58","281.07","274.12","56.77M","3.02%"
"10/14/2021","272.77","271.83","273.42","271.12","36.74M","0.89%"
"10/13/2021","270.36","270.16","271.80","268.59","42.36M","0.67%"
"10/12/2021","268.57","266.98","270.77","265.52","66.06M","1.74%"
"10/11/2021","263.98","262.55","267.08","261.83","42.60M","0.82%"
"10/08/2021","261.83","265.40","265.46","260.30","50.22M","-1.02%"
"10/07/2021","264.54","261.82","268.33","261.13","57.59M","1.39%"
"10/06/2021","260.92","258.73","262.22","257.74","43.90M","0.28%"
"10/05/2021","260.20","261.60","265.77","258.07","55.30M","-0.12%"
"10/04/2021","260.51","265.50","268.99","258.71","91.45M","0.81%"
"10/01/2021","258.41","259.47","260.26","254.53","51.09M","-0.03%"
"09/30/2021","258.49","260.33","263.04","258.33","53.87M","-0.75%"
"09/29/2021","260.44","259.93","264.50","256.89","62.83M","0.48%"
"09/28/2021","259.19","262.40","265.21","255.39","76.14M","-1.74%"
"09/27/2021","263.79","257.71","266.33","256.44","84.21M","2.19%"
"09/24/2021","258.13","248.63","258.27","248.19","64.12M","2.75%"
"09/23/2021","251.21","251.67","252.73","249.31","35.84M","0.23%"
"09/22/2021","250.65","247.84","251.22","246.37","45.38M","1.70%"
"09/21/2021","246.46","244.93","248.25","243.48","48.99M","1.26%"
"09/20/2021","243.39","244.85","247.33","239.54","74.27M","-3.86%"
"09/17/2021","253.16","252.38","253.68","250.00","84.61M","0.33%"
"09/16/2021","252.33","250.94","252.97","249.20","41.77M","0.15%"
"09/15/2021","251.94","248.33","252.29","246.12","46.07M","1.52%"
"09/14/2021","248.16","247.52","251.49","245.47","55.58M","0.20%"
"09/13/2021","247.67","246.74","248.26","236.28","68.86M","0.91%"
"09/10/2021","245.42","253.20","254.20","244.84","45.55M","-2.46%"
"09/09/2021","251.62","251.14","254.03","250.54","42.23M","0.13%"
"09/08/2021","251.29","253.86","254.82","246.92","56.38M","0.13%"
"09/07/2021","250.97","246.67","253.40","246.42","60.12M","2.64%"
"09/03/2021","244.52","244.08","244.67","241.40","45.81M","0.16%"
"09/02/2021","244.13","244.83","246.99","243.51","38.39M","-0.23%"
"09/01/2021","244.70","244.69","247.33","243.76","39.61M","-0.22%"
"08/31/2021","245.24","244.33","246.80","242.15","62.57M","0.66%"
"08/30/2021","243.64","238.24","243.67","237.58","55.81M","2.67%"
"08/27/2021","237.31","235.00","238.33","234.03","41.50M","1.53%"
"08/26/2021","233.72","236.10","238.47","232.54","39.64M","-1.41%"
"08/25/2021","237.07","235.68","238.99","234.67","37.94M","0.38%"
"08/24/2021","236.16","236.89","238.41","234.21","39.25M","0.31%"
"08/23/2021","235.43","228.48","237.38","226.92","60.80M","3.83%"
"08/20/2021","226.75","227.62","230.71","224.57","44.53M","1.01%"
"08/19/2021","224.49","226.07","228.85","222.53","42.94M","-2.25%"
"08/18/2021","229.66","223.25","231.92","223.12","61.05M","3.50%"
"08/17/2021","221.90","224.22","224.86","216.28","71.16M","-2.98%"
"08/16/2021","228.72","235.02","236.50","225.47","69.31M","-4.32%"
"08/13/2021","239.06","241.24","243.30","238.11","50.19M","-0.70%"
"08/12/2021","240.75","235.45","240.93","233.13","53.05M","2.04%"
"08/11/2021","235.94","237.57","238.39","234.74","29.40M","-0.31%"
"08/10/2021","236.66","238.00","238.86","233.96","40.30M","-0.53%"
"08/09/2021","237.92","236.72","239.68","235.04","44.15M","2.10%"
"08/06/2021","233.03","237.30","238.78","232.54","46.87M","-2.17%"
"08/05/2021","238.21","238.67","240.32","237.14","38.76M","0.52%"
"08/04/2021","236.97","237.00","241.63","236.31","51.01M","0.17%"
"08/03/2021","236.58","239.67","240.88","233.67","64.86M","0.01%"
"08/02/2021","236.56","233.33","242.31","232.80","100.85M","3.27%"
"07/30/2021","229.07","223.92","232.51","223.00","88.97M","1.45%"
"07/29/2021","225.78","216.60","227.90","216.27","91.18M","4.69%"
"07/28/2021","215.66","215.66","218.32","213.13","48.02M","0.34%"
"07/27/2021","214.93","221.13","222.17","209.08","98.44M","-1.95%"
"07/26/2021","219.21","216.99","222.73","215.70","76.01M","2.21%"
"07/23/2021","214.46","215.45","216.27","212.43","43.82M","-0.91%"
"07/22/2021","216.42","218.81","220.72","214.87","45.32M","-0.92%"
"07/21/2021","218.43","219.87","221.62","216.76","41.86M","-0.79%"
"07/20/2021","220.17","217.33","220.80","213.50","46.46M","2.21%"
"07/19/2021","215.41","209.96","215.73","207.10","63.89M","0.31%"
"07/16/2021","214.74","218.23","218.90","214.07","49.11M","-0.98%"
"07/15/2021","216.87","219.46","222.05","212.63","60.63M","-0.43%"
"07/14/2021","217.79","223.58","226.20","217.61","64.92M","-2.27%"
"07/13/2021","222.85","228.77","231.09","222.10","62.90M","-2.50%"
"07/12/2021","228.57","220.73","229.08","220.72","77.78M","4.38%"
"07/09/2021","218.98","217.73","219.64","214.90","54.42M","0.63%"
"07/08/2021","217.60","209.46","218.14","206.82","68.32M","1.27%"
"07/07/2021","214.88","221.42","221.90","212.77","56.38M","-2.26%"
"07/06/2021","219.86","227.24","228.00","217.13","69.85M","-2.85%"
"07/02/2021","226.30","226.33","233.33","224.42","81.29M","0.14%"
"07/01/2021","225.97","227.97","229.33","224.27","55.90M","-0.26%"
"06/30/2021","226.57","226.59","230.94","226.05","56.78M","-0.16%"
"06/29/2021","226.92","228.22","229.17","225.30","52.14M","-1.16%"
"06/28/2021","229.57","223.88","231.57","223.44","64.89M","2.51%"
"06/25/2021","223.96","229.86","231.27","222.90","97.49M","-1.17%"
"06/24/2021","226.61","225.00","232.54","222.54","137.95M","3.54%"
"06/23/2021","218.86","210.67","219.07","210.01","93.30M","5.27%"
"06/22/2021","207.90","206.08","209.52","205.17","57.48M","0.46%"
"06/21/2021","206.94","208.16","210.46","202.96","74.44M","-0.40%"
"06/18/2021","207.77","204.46","209.45","203.93","73.68M","1.09%"
"06/17/2021","205.53","200.63","207.16","200.45","68.10M","1.94%"
"06/16/2021","201.62","199.18","202.83","197.83","66.43M","0.92%"
"06/15/2021","199.79","205.56","205.60","199.41","53.29M","-2.97%"
"06/14/2021","205.90","204.08","208.50","203.06","61.27M","1.28%"
"06/11/2021","203.30","203.41","204.19","200.51","48.62M","-0.04%"
"06/10/2021","203.37","201.29","205.53","200.17","71.76M","1.89%"
"06/09/2021","199.59","200.72","203.93","199.21","49.75M","-0.80%"
"06/08/2021","201.20","207.67","207.70","198.50","78.16M","-0.25%"
"06/07/2021","201.71","197.27","203.33","194.29","67.63M","1.01%"
"06/04/2021","199.68","193.24","200.20","192.40","72.11M","4.58%"
"06/03/2021","190.95","200.60","201.52","190.41","90.34M","-5.33%"
"06/02/2021","201.71","206.71","207.79","199.71","69.91M","-3.01%"
"06/01/2021","207.97","209.27","211.27","206.85","54.26M","-0.21%"
"05/28/2021","208.41","209.50","211.86","207.46","68.21M","-0.89%"
"05/27/2021","210.28","206.75","210.38","205.40","79.11M","1.89%"
"05/26/2021","206.38","202.52","208.72","200.50","85.92M","2.39%"
"05/25/2021","201.56","202.44","204.66","198.57","84.02M","-0.29%"
"05/24/2021","202.15","193.87","204.83","191.22","103.67M","4.40%"
"05/21/2021","193.63","198.70","198.89","193.33","78.09M","-1.01%"
"05/20/2021","195.59","191.67","196.28","190.36","92.46M","4.14%"
"05/19/2021","187.82","184.18","188.74","182.33","118.74M","-2.49%"
"05/18/2021","192.62","189.33","198.75","187.79","110.49M","0.18%"
"05/17/2021","192.28","191.85","196.58","187.07","97.17M","-2.19%"
"05/14/2021","196.58","194.47","197.62","190.15","100.11M","3.16%"
"05/13/2021","190.56","200.51","202.15","186.55","132.56M","-3.09%"
"05/12/2021","196.63","200.83","206.80","195.59","101.47M","-4.42%"
"05/11/2021","205.73","199.75","209.03","198.53","139.51M","-1.88%"
"05/10/2021","209.68","221.63","221.68","209.20","94.18M","-6.44%"
"05/07/2021","224.12","221.93","230.00","220.07","70.41M","1.33%"
"05/06/2021","221.18","226.92","227.01","216.67","83.35M","-1.10%"
"05/05/2021","223.65","227.02","228.43","222.45","65.71M","-0.39%"
"05/04/2021","224.53","226.31","227.82","219.23","89.22M","-1.65%"
"05/03/2021","228.30","234.60","235.33","226.83","81.13M","-3.46%"
"04/30/2021","236.48","222.53","238.49","222.05","122.28M","4.79%"
"04/29/2021","225.67","233.17","234.08","222.83","86.54M","-2.51%"
"04/28/2021","231.47","232.14","236.17","231.20","66.81M","-1.47%"
"04/27/2021","234.91","239.32","241.33","234.45","88.31M","-4.53%"
"04/26/2021","246.07","247.00","249.77","244.20","93.12M","1.21%"
"04/23/2021","243.13","239.93","245.79","238.49","85.24M","1.35%"
"04/22/2021","239.90","247.17","251.26","239.35","106.77M","-3.28%"
"04/21/2021","248.04","234.92","248.28","232.67","93.65M","3.50%"
"04/20/2021","239.66","239.14","245.75","236.89","106.83M","0.61%"
"04/19/2021","238.21","239.87","241.80","230.60","119.06M","-3.40%"
"04/16/2021","246.59","242.88","249.80","241.53","83.94M","0.13%"
"04/15/2021","246.28","247.70","247.90","240.44","83.55M","0.90%"
"04/14/2021","244.08","256.90","260.26","242.68","147.05M","-3.95%"
"04/13/2021","254.11","237.57","254.33","236.89","133.96M","8.60%"
"04/12/2021","233.99","228.57","234.93","227.36","87.41M","3.69%"
"04/09/2021","225.67","225.92","226.99","223.14","64.31M","-0.99%"
"04/08/2021","227.93","225.79","229.85","223.88","71.77M","1.91%"
"04/07/2021","223.66","229.00","230.46","222.61","78.93M","-2.99%"
"04/06/2021","230.54","230.10","232.18","227.12","84.82M","0.08%"
"04/05/2021","230.35","235.90","236.05","228.23","125.53M","4.43%"
"04/01/2021","220.58","229.46","230.81","219.81","105.90M","-0.93%"
